Employee ID,First Name,Gender,Start Date,Last Login Time,Salary,Bonus Percentage,Senior Management,Team,Active,Probation End Date,Shift Time,Monthly Incentive,Tax Deduction,Overtime Hours,WFH,Compliance Trained,Location,Previous Employer,Joining Year,Joining Month,Probation Days
2610030051,Douglas,Male,1993-06-08,12:42:00,97308,6.945,1.0,Marketing,Y,1999-03-21,7:18:00 AM,0.6,35.0,0.0,Hybrid,Not Completed,Tamil Nadu,none,1993,June,2112.0
2610030519,Thomas,Male,1996-03-31,06:53:00,61933,4.17,1.0,Client Services,FALSE,1998-06-08,8:55,0.5,35.0,0.0,Remote Only,Yes,-,"TCS, Wipro",1996,March,799.0
2610030768,Maria,Female,1993-04-23,11:17:00,130590,11.858,0.0,Finance,FALSE,2020-05-30,25:61,0.5,35.0,0.0,No,FALSE,TN,-,1993,April,9899.0
2610030366,Jerry,Male,2005-04-03,13:00:00,138705,9.34,1.0,Finance,Yes,1997-10-31,25:61,0.5,35.0,0.0,Yes,Yes,-,"Accenture, Capgemini",2005,April,-2711.0
2610030510,Larry,Male,1998-01-24,16:47:00,101004,1.389,1.0,Client Services,TRUE,1990-01-07,3:33,0.5,35.0,50.0,Pending,Not Completed,-,none,1998,January,-2939.0
2610030454,Dennis,Male,1987-04-18,01:35:00,115163,10.125,0.0,Legal,FALSE,2014-04-04,7:47 AM,0.5,35.0,0.0,No,Yes,Chennai,none,1987,April,9848.0
2610030382,Ruby,Female,1987-08-17,16:20:00,65476,10.012,1.0,Product,No,1996-06-12,25:61,0.5,35.0,0.0,Remote Only,Ongoing,CBE,"Accenture, Capgemini",1987,August,3222.0
2610030713,Unknown,Female,2015-07-20,10:43:00,45906,11.598,1.0,Finance,0,,5:37:00 PM,0.5,35.0,0.0,Pending,Completed,-,"Accenture, Capgemini",2015,July,
2610030703,Angela,Female,2005-11-22,06:29:00,95570,18.523,1.0,Engineering,No,2018-09-03,23:44,0.5,-90.0,0.0,Yes,Yes,India,-,2005,November,4668.0
2610030530,Frances,Female,2002-08-08,06:51:00,139852,7.524,1.0,Business Development,FALSE,2012-10-04,9:09:00 PM,0.5,35.0,0.0,Yes,Not Completed,Tamil Nadu,"Accenture, Capgemini",2002,August,3710.0
2610030722,Louise,Female,1980-12-08,09:01:00,63241,15.132,1.0,Client Services,No,2022-05-14,midnight,0.5,-8.0,-2.0,Remote Only,Yes,Unknown,"Accenture, Capgemini",1980,December,15132.0
2610030079,Julie,Female,1997-10-26,15:19:00,102508,12.637,1.0,Legal,Y,1993-08-31,16:12,0.5,35.0,11.0,Remote Only,Yes,Unknown,3,1997,October,-1517.0
2610030578,Brandon,Male,1980-01-12,01:08:00,112807,17.492,1.0,Human Resources,No,1995-09-08,6:00 AM,0.6,35.0,0.0,Hybrid,Yes,-,3,1980,January,5718.0
2610030376,Gary,Male,2008-01-27,23:40:00,109831,5.831,0.0,Sales,FALSE,2021-08-29,7:36 PM,0.2,35.0,0.0,No,Ongoing,CBE,-,2008,January,4963.0
2610030352,Kimberly,Female,1999-01-14,07:13:00,41426,14.543,1.0,Finance,FALSE,2012-08-19,20:30,0.2,335.0,0.0,Yes,Yes,-,none,1999,January,4966.0
2610030154,Lillian,Female,2016-05-06,06:09:00,59414,1.256,0.0,Product,Y,2000-12-22,1:08 PM,0.5,35.0,0.0,Pending,Ongoing,Tamil Nadu,Infosys,2016,May,-5614.0
2610030339,Jeremy,Male,2010-09-21,05:56:00,90370,7.369,0.0,Human Resources,TRUE,2009-08-28,6:00 PM,0.5,2152.0,-1.0,Remote Only,FALSE,"Chennai, India",-,2010,September,-389.0
2610030795,Shawn,Male,1986-07-12,19:45:00,111737,6.414,0.0,Product,TRUE,2010-05-03,midnight,4547.0,720.0,0.0,Remote Only,Yes,-,"TCS, Wipro",1986,July,8696.0
2610030845,Diana,Female,1981-10-23,10:27:00,132940,19.082,0.0,Client Services,1,1997-03-25,25:61,0.5,35.0,0.0,Yes,FALSE,Unknown,3,1981,October,5632.0
2610030684,Donna,Female,2010-07-22,03:48:00,81014,1.894,0.0,Product,TRUE,2003-10-08,21:40,0.12,35.0,0.0,Yes,FALSE,Madras,3,2010,July,-2479.0
2610030454,Lois,Female,1995-04-22,19:18:00,64714,4.934,1.0,Legal,FALSE,2014-10-25,11:41:00 PM,0.5,3635.0,-2.0,Remote Only,Ongoing,"Chennai, India",-,1995,April,7126.0
2610030670,Matthew,Male,1995-05-09,02:12:00,100612,13.645,0.0,Marketing,Y,2000-06-05,25:61,0.5,35.0,-3.0,Yes,TRUE,Madras,Infosys,1995,May,1854.0
2610030968,Joshua,Female,2012-08-03,01:58:00,90816,18.816,1.0,Client Services,TRUE,2003-06-22,9:00 PM,0.5,35.0,0.0,Remote Only,Ongoing,Chennai,"Accenture, Capgemini",2012,August,-3330.0
2610030431,Unknown,Male,2012-06-14,16:19:00,125792,5.042,1.0,Client Services,TRUE,2006-09-09,02:28,0.01,35.0,0.0,No,Not Completed,-,"TCS, Wipro",2012,June,-2105.0
2610030279,John,Male,1992-01-07,22:08:00,97950,13.873,0.0,Client Services,FALSE,1995-10-22,midnight,0.5,35.0,0.0,Pending,Yes,CBE,3,1992,January,1384.0
2610030746,Unknown,Male,2012-08-10,01:12:00,37076,18.576,1.0,Client Services,Y,2099-12-12,1:14:00 PM,0.5,35.0,0.0,Yes,Yes,"Chennai, India","Accenture, Capgemini",2012,August,31900.0
2610030935,Craig,Male,2000-02-27,07:45:00,37598,7.757,1.0,Marketing,1,2012-02-10,6:37 PM,0.5,3005.0,0.0,Remote Only,Completed,Tamil Nadu,"TCS, Wipro",2000,February,4366.0
2610030157,Scott,Female,1991-11-07,18:58:00,122367,5.218,0.0,Legal,FALSE,1998-08-19,midnight,2649.0,35.0,0.0,Yes,FALSE,"Chennai, India",3,1991,November,2477.0
2610030575,Terry,Male,1981-11-27,18:30:00,124008,13.464,1.0,Client Services,Y,2010-08-22,midnight,0.5,35.0,0.0,Pending,Yes,-,3,1981,November,10495.0
2610030732,Benjamin,Male,2005-01-26,22:06:00,79529,7.008,1.0,Legal,1,1994-06-18,3:00 PM,0.5,35.0,0.0,No,TRUE,TN,"Accenture, Capgemini",2005,January,-3875.0
2610030344,Christina,Female,2002-06-08,13:19:00,118780,9.096,1.0,Engineering,0,2002-01-30,25:61,0.5,35.0,0.0,Pending,Yes,CBE,Infosys,2002,June,-129.0
2610030040,Joyce,Female,2005-02-20,14:40:00,88657,12.752,0.0,Product,0,2012-08-18,8:00 PM,0.1,35.0,14.0,Remote Only,Completed,"Chennai, India","Accenture, Capgemini",2005,February,2736.0
2610030321,Unknown,Male,1998-08-21,14:27:00,122340,6.417,1.0,Client Services,Y,1990-03-31,7:07,0.5,35.0,0.0,Yes,Yes,TN,none,1998,August,-3065.0
2610030323,Jean,Female,1993-12-18,09:07:00,119082,16.18,0.0,Business Development,TRUE,1999-06-27,10:35:00 AM,0.5,2689.0,0.0,Remote Only,Completed,Chennai,"Accenture, Capgemini",1993,December,2017.0
2610030135,Jerry,Male,2004-10-01,12:56:00,95734,19.096,0.0,Client Services,No,1999-01-02,2:12 PM,0.5,-56.0,0.0,Hybrid,Completed,TN,3,2004,October,-2099.0
2610030755,Theresa,Female,2006-10-10,01.12.00,85182,16.675,0.0,Sales,TRUE,2004-02-09,7:00 PM,0.5,35.0,0.0,Pending,Yes,Unknown,none,2006,October,-974.0
2610030126,Rachel,Female,2009-02-16,20:47:00,142032,12.599,0.0,Business Development,0,1994-11-15,9:00 PM,1710.0,35.0,0.0,Yes,FALSE,Chennai,"Accenture, Capgemini",2009,February,-5207.0
2610030368,Linda,Female,1981-10-19,20:49:00,57427,9.557,1.0,Client Services,FALSE,2010-09-20,12:55 PM,0.04,35.0,0.0,No,FALSE,TN,-,1981,October,10563.0
2610030349,Stephanie,Female,1986-09-13,01:52:00,36844,5.574,1.0,Business Development,1,2003-03-07,12:32,0.5,35.0,-4.0,Pending,FALSE,-,"TCS, Wipro",1986,September,6019.0
2610030816,Unknown,Male,2016-01-29,02:33:00,122173,7.797,1.0,Client Services,0,2099-12-12,18:18,0.5,35.0,21.0,Hybrid,Not Completed,-,3,2016,January,30633.0
2610030212,Michael,Male,2008-10-10,11:25:00,99283,2.665,1.0,Distribution,TRUE,2010-05-31,25:61,0.5,-29.0,0.0,Pending,Yes,Chennai,3,2008,October,598.0
2610030458,Christine,Female,2015-06-28,01:08:00,66582,11.308,1.0,Business Development,0,2005-01-07,25:61,0.5,-92.0,0.0,Pending,TRUE,Tamil Nadu,"Accenture, Capgemini",2015,June,-3824.0
2610030342,Beverly,Female,1998-09-09,20:26:00,121918,15.835,0.0,Legal,FALSE,1993-02-10,1:00 PM,0.5,35.0,0.0,Remote Only,Ongoing,Chennai,-,1998,September,-2037.0
2610030917,Marilyn,Female,1980-07-12,03:16:00,73524,5.207,1.0,Marketing,Yes,2006-12-09,03:45,0.5,-20.0,0.0,Hybrid,Not Completed,India,"Accenture, Capgemini",1980,July,9646.0
2610030847,Cynthia,Female,1988-11-16,18:54:00,145146,7.482,1.0,Product,TRUE,1994-08-03,20:47,0.05,35.0,0.0,Pending,Yes,-,Infosys,1988,November,2086.0
2610030092,Roger,Male,1980-04-17,11:32:00,88010,13.886,1.0,Sales,0,2020-06-28,4:42:00 AM,0.5,35.0,0.0,Remote Only,Not Completed,TN,"Accenture, Capgemini",1980,April,14682.0
2610030019,Bruce,Male,2009-11-28,22:47:00,114796,6.796,0.0,Finance,TRUE,2021-12-14,2:00 PM,3811.0,35.0,0.0,No,Completed,Madras,-,2009,November,4399.0
2610030051,Kathy,Female,2005-06-22,04:51:00,66820,9.0,1.0,Client Services,FALSE,2014-06-23,10:00 PM,0.02,35.0,0.0,Hybrid,Ongoing,TN,none,2005,June,3288.0
2610030864,Clarence,Male,1996-03-26,05:57:00,93581,6.083,1.0,Business Development,TRUE,2015-06-03,8:39,0.5,35.0,0.0,Pending,Completed,Chennai,"Accenture, Capgemini",1996,March,7008.0
2610030747,Chris,Female,1980-01-24,12:13:00,113590,3.055,0.0,Sales,TRUE,1999-08-04,25:61,0.5,35.0,0.0,Remote Only,Not Completed,Unknown,"TCS, Wipro",1980,January,7132.0
2610030665,Nancy,Female,2000-09-23,08:05:00,94976,13.83,1.0,Engineering,TRUE,2010-08-06,midnight,0.5,3332.0,0.0,Remote Only,Yes,-,"Accenture, Capgemini",2000,September,3604.0
2610030048,Unknown,Female,2011-12-17,08:29:00,41126,14.009,1.0,Sales,1,1999-02-03,3:30,0.5,35.0,0.0,Yes,Yes,-,Infosys,2011,December,-4700.0
2610030453,Todd,Male,1990-02-18,02:41:00,49339,1.695,1.0,Human Resources,No,1993-06-14,25:61,0.5,-22.0,0.0,Hybrid,TRUE,Chennai,-,1990,February,1212.0
2610030778,Alan,Female,2014-03-03,13:28:00,40341,17.578,1.0,Finance,1,,3:16:00 AM,0.5,-43.0,48.0,Remote Only,Ongoing,Tamil Nadu,none,2014,March,
2610030038,Sara,Female,2007-08-15,09:23:00,83677,8.999,0.0,Engineering,0,2002-01-03,12:20:00 PM,0.5,1069.0,0.0,Hybrid,Yes,"Chennai, India",-,2007,August,-2050.0
2610030343,Karen,Female,1999-11-30,07:46:00,102488,17.653,1.0,Product,FALSE,1991-02-27,01:48,0.5,35.0,37.0,No,Not Completed,Chennai,-,1999,November,-3198.0
2610030095,Carl,Male,2006-03-05,17:55:00,130276,16.084,1.0,Finance,TRUE,2000-02-22,05:31,0.5,35.0,0.0,No,TRUE,CBE,-,2006,March,-2203.0
2610030491,Henry,Male,1996-06-26,01:44:00,64715,15.107,1.0,Human Resources,FALSE,2011-02-04,11:26 AM,0.15,35.0,0.0,Yes,Yes,Chennai,none,1996,June,5336.0
2610030209,Theresa,Female,2010-11-04,07:18:00,72670,1.481,1.0,Engineering,FALSE,2002-02-15,25:61,0.5,35.0,0.0,Pending,Completed,-,"Accenture, Capgemini",2010,November,-3184.0
2610030418,Irene,Female,1997-07-05,09:32:00,66851,11.279,0.0,Engineering,Yes,2015-07-11,7:13:00 PM,0.5,35.0,0.0,No,Completed,TN,-,1997,July,6580.0
2610030650,Paula,Female,2005-11-23,14:01:00,48866,4.271,0.0,Distribution,1,1994-10-19,25:61,2962.0,35.0,0.0,Remote Only,Not Completed,Tamil Nadu,3,2005,November,-4053.0
2610030559,Denise,Female,2001-06-11,12:03:00,106862,3.699,0.0,Business Development,0,2099-12-12,23:11,0.5,-11.0,-1.0,Yes,Ongoing,India,Infosys,2001,June,35978.0
2610030133,Unknown,Female,2007-12-06,17:25:00,58112,19.414,1.0,Marketing,FALSE,,10:27,0.5,-44.0,0.0,Remote Only,Ongoing,Tamil Nadu,"Accenture, Capgemini",2007,December,
2610030865,Matthew,Male,2013-02-01,22:33:00,35203,18.04,0.0,Human Resources,FALSE,1993-07-22,01:14,0.5,35.0,0.0,Yes,Not Completed,"Chennai, India",Infosys,2013,February,-7134.0
2610030461,Kathleen,Female,1990-11-04,18:46:00,77834,18.771,0.0,Business Development,FALSE,2018-06-27,7:08 PM,0.5,35.0,30.0,Remote Only,Not Completed,Tamil Nadu,Infosys,1990,November,10097.0
2610030325,Steve,Male,2009-11-11,23:44:00,61310,12.428,1.0,Distribution,TRUE,2099-12-12,midnight,0.7,35.0,-1.0,No,TRUE,TN,"Accenture, Capgemini",2009,November,32903.0
2610030098,Nancy,Female,2012-12-15,23:57:00,125250,2.672,1.0,Business Development,FALSE,2019-08-18,1:32 PM,0.5,1934.0,0.0,Remote Only,Not Completed,Unknown,"TCS, Wipro",2012,December,2437.0
2610030306,Rachel,Female,1999-08-16,06:53:00,51178,9.735,1.0,Finance,TRUE,2011-04-23,25:61,0.5,35.0,0.0,Hybrid,Ongoing,TN,"Accenture, Capgemini",1999,August,4268.0
2610030004,Jose,Male,2004-10-30,13:39:00,84834,14.33,1.0,Finance,Y,2013-11-11,midnight,0.15,35.0,0.0,Yes,Yes,-,"Accenture, Capgemini",2004,October,3299.0
2610030257,Irene,Female,2015-07-14,16:31:00,100863,4.382,1.0,Finance,FALSE,1994-02-13,10:56:00 PM,0.9,35.0,0.0,Pending,Yes,"Chennai, India",3,2015,July,-7821.0
2610030452,Todd,Female,2003-10-06,14:26:00,84692,6.617,0.0,Client Services,1,2004-01-11,2:15 PM,0.3,3836.0,0.0,Remote Only,Yes,-,"Accenture, Capgemini",2003,October,97.0
2610030102,Johnny,Male,2009-06-11,16:23:00,118172,16.194,1.0,Sales,No,1995-08-03,04:50,1808.0,35.0,-2.0,Remote Only,Ongoing,TN,"Accenture, Capgemini",2009,June,-5061.0
2610030307,Bobby,Male,2007-07-05,10:01:00,54043,3.833,0.0,Product,TRUE,1997-10-25,20:08,0.5,35.0,0.0,Pending,Not Completed,Madras,3,2007,July,-3540.0
2610030300,Frances,Female,1999-04-04,16:19:00,90582,4.709,1.0,Sales,FALSE,2000-05-02,25:61,0.5,138.0,0.0,Hybrid,TRUE,Chennai,3,1999,April,394.0
2610030076,Thomas,Male,1995-04-06,14:24:00,62096,17.029,0.0,Marketing,No,1995-05-16,21:16,0.5,-38.0,0.0,Yes,TRUE,TN,none,1995,April,40.0
2610030914,Bonnie,Female,1991-02-07,01:27:00,104897,5.118,1.0,Human Resources,Yes,2006-12-02,12:00 PM,0.5,35.0,-1.0,Hybrid,Completed,Madras,-,1991,February,5777.0
2610030321,Margaret,Female,1988-10-09,12:42:00,131604,7.353,1.0,Distribution,No,2015-03-24,23:01,0.5,35.0,0.0,Remote Only,Yes,CBE,"Accenture, Capgemini",1988,October,9662.0
2610030810,Charles,Male,2004-09-14,20:13:00,107391,1.26,1.0,Marketing,FALSE,2005-07-16,25:61,0.5,-74.0,-5.0,No,Ongoing,India,Infosys,2004,September,305.0
2610030275,Robin,Female,1983-04-06,15.15.00,114797,5.965,1.0,Sales,1,2014-09-21,12:21:00 PM,0.5,35.0,36.0,Remote Only,FALSE,India,"Accenture, Capgemini",1983,April,11491.0
2610030037,Bonnie,Female,1988-11-13,15:30:00,115814,4.99,0.0,Product,0,2006-01-22,14:50,0.15,35.0,0.0,Hybrid,Yes,Tamil Nadu,none,1988,November,6279.0
2610030599,Gerald,Female,1995-03-17,00:50:00,137126,15.602,1.0,Sales,Y,2099-12-12,25:61,0.5,35.0,0.0,Hybrid,Yes,Unknown,"Accenture, Capgemini",1995,March,38256.0
2610030891,Christopher,Male,2008-03-30,10:52:00,47369,14.822,0.0,Legal,FALSE,2006-01-03,11:56 AM,0.7,35.0,0.0,Yes,Ongoing,Unknown,-,2008,March,-817.0
2610030560,Steven,Male,1980-03-30,21:20:00,35095,8.379,1.0,Client Services,TRUE,1998-11-26,12:00 PM,0.5,35.0,0.0,Pending,Yes,India,Infosys,1980,March,6815.0
2610030565,Shawn,Male,2005-09-23,02:55:00,148115,6.539,1.0,Finance,Y,1993-11-12,19:18,0.5,35.0,-3.0,Hybrid,Yes,Madras,"Accenture, Capgemini",2005,September,-4333.0
2610030064,Doris,Female,2004-08-20,05:51:00,83072,7.511,0.0,Finance,1,2000-03-31,10:11:00 PM,0.5,35.0,0.0,Yes,Not Completed,Tamil Nadu,"Accenture, Capgemini",2004,August,-1603.0
2610030186,Jeremy,Male,2008-01-02,08:50:00,100238,3.887,1.0,Client Services,Yes,2016-02-27,00:54,0.5,35.0,0.0,Yes,Yes,CBE,"Accenture, Capgemini",2008,January,2978.0
2610030035,Annie,Female,2007-09-29,00:11:00,103495,17.29,1.0,Business Development,TRUE,2012-11-17,midnight,0.5,35.0,0.0,Hybrid,Completed,Tamil Nadu,3,2007,September,1876.0
2610030620,Annie,Female,1993-01-30,02:05:00,144887,8.276,1.0,Sales,TRUE,2001-02-07,11:01,0.09,35.0,0.0,No,FALSE,India,3,1993,January,2930.0
2610030971,Donna,Female,1991-11-27,13:59:00,64088,6.155,1.0,Legal,Yes,2020-09-09,1:31,0.3,35.0,0.0,Hybrid,Completed,Unknown,3,1991,November,10514.0
2610030110,Janice,Female,2016-12-03,00:40:00,51082,11.955,0.0,Legal,TRUE,2008-04-22,5:48:00 PM,0.9,35.0,0.0,Yes,Not Completed,Unknown,3,2016,December,-3147.0
2610030637,Janice,Female,1997-08-21,05:12:00,91719,11.583,1.0,Legal,1,2016-10-02,10:31:00 AM,0.8,1106.0,0.0,Yes,FALSE,Tamil Nadu,Infosys,1997,August,6982.0
2610030479,James,Female,2005-01-26,23:00:00,128771,8.309,0.0,Client Services,TRUE,2012-03-19,1:48 PM,4734.0,35.0,0.0,Hybrid,Ongoing,"Chennai, India",Infosys,2005,January,2609.0
2610030982,Linda,Female,2000-05-25,17:45:00,119009,12.506,1.0,Business Development,Y,2002-04-19,09:20,0.1,3314.0,0.0,No,Yes,-,"TCS, Wipro",2000,May,694.0
2610030661,Virginia,Female,1994-07-05,17:58:00,111858,1.601,1.0,Legal,Y,2009-07-09,5:58,0.5,35.0,0.0,No,Ongoing,CBE,-,1994,July,5483.0
2610030413,Harry,Male,1981-08-26,15:16:00,130620,7.03,0.0,Legal,TRUE,2015-11-20,2:34:00 PM,0.07,2905.0,0.0,Remote Only,Completed,Chennai,-,1981,August,12504.0
2610030896,Heather,Female,1998-11-07,14:17:00,43026,14.166,0.0,Client Services,FALSE,,25:61,0.8,-52.0,0.0,Hybrid,FALSE,Tamil Nadu,-,1998,November,
2610030857,Cynthia,Female,1994-03-21,08:34:00,142321,1.737,0.0,Finance,Yes,2005-07-16,2:00 PM,0.5,35.0,0.0,Yes,FALSE,Madras,"TCS, Wipro",1994,March,4135.0
